state_ab,county,tvdma
AR,FAULKNER,"Little Rock - Pine Bluff, AR DMA"
AR,FRANKLIN,"Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA"
AR,FULTON,"Springfield, MO - AR DMA"
AR,GARLAND,"Little Rock - Pine Bluff, AR DMA"
AR,GRANT,"Little Rock - Pine Bluff, AR DMA"
AR,GREENE,"Jonesboro, AR - MO DMA"
AR,HEMPSTEAD,"Shreveport, LA - AR - OK - TX DMA"
AR,HOT SPRING,"Little Rock - Pine Bluff, AR DMA"
AR,HOWARD,"Shreveport, LA - AR - OK - TX DMA"
AR,INDEPENDENCE,"Little Rock - Pine Bluff, AR DMA"
AR,IZARD,"Jonesboro, AR - MO DMA"
AR,JACKSON,"Little Rock - Pine Bluff, AR DMA"
AR,JEFFERSON,"Little Rock - Pine Bluff, AR DMA"
AR,JOHNSON,"Little Rock - Pine Bluff, AR DMA"
AR,LAFAYETTE,"Shreveport, LA - AR - OK - TX DMA"
AR,LAWRENCE,"Jonesboro, AR - MO DMA"
AR,LEE,"Memphis, TN - AR- MS - MO DMA"
AR,LINCOLN,"Little Rock - Pine Bluff, AR DMA"
AR,LITTLE RIVER,"Shreveport, LA - AR - OK - TX DMA"
AR,LOGAN,"Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA"
AR,LONOKE,"Little Rock - Pine Bluff, AR DMA"
AR,MADISON,"Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA"
AR,MARION,"Springfield, MO - AR DMA"
AR,MILLER,"Shreveport, LA - AR - OK - TX DMA"
AR,MISSISSIPPI,"Memphis, TN - AR- MS - MO DMA"
AR,MONROE,"Little Rock - Pine Bluff, AR DMA"
AR,MONTGOMERY,"Little Rock - Pine Bluff, AR DMA"
AR,NEVADA,"Shreveport, LA - AR - OK - TX DMA"
AR,NEWTON,"Springfield, MO - AR DMA"
AR,OUACHITA,"Little Rock - Pine Bluff, AR DMA"
AR,PERRY,"Little Rock - Pine Bluff, AR DMA"
AR,PHILLIPS,"Memphis, TN - AR- MS - MO DMA"
AR,PIKE,"Little Rock - Pine Bluff, AR DMA"
AR,POINSETT,"Memphis, TN - AR- MS - MO DMA"
AR,POLK,"Little Rock - Pine Bluff, AR DMA"
AR,POPE,"Little Rock - Pine Bluff, AR DMA"
AR,PRAIRIE,"Little Rock - Pine Bluff, AR DMA"
AR,PULASKI,"Little Rock - Pine Bluff, AR DMA"
AR,RANDOLPH,"Jonesboro, AR - MO DMA"
AR,ST FRANCIS,"Memphis, TN - AR- MS - MO DMA"
AR,SALINE,"Little Rock - Pine Bluff, AR DMA"
AR,SCOTT,"Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA"
AR,SEARCY,"Little Rock - Pine Bluff, AR DMA"
AR,SEBASTIAN,"Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA"
AR,SEVIER,"Shreveport, LA - AR - OK - TX DMA"
AR,SHARP,"Jonesboro, AR - MO DMA"
AR,STONE,"Little Rock - Pine Bluff, AR DMA"
AR,UNION,"Monroe - El Dorado, LA - AR DMA"
AR,VAN BUREN,"Little Rock - Pine Bluff, AR DMA"
AR,WASHINGTON,"Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA"
AR,WHITE,"Little Rock - Pine Bluff, AR DMA"
AR,WOODRUFF,"Little Rock - Pine Bluff, AR DMA"
AR,YELL,"Little Rock - Pine Bluff, AR DMA"
CA,ALAMEDA,"San Francisco - Oakland - San Jose, CA DMA"
CA,ALPINE,"Reno, NV - CA DMA"
CA,AMADOR,"Sacramento - Stockton - Modesto, CA DMA"
CA,BUTTE,"Chico - Redding, CA DMA"
CA,CALAVERAS,"Sacramento - Stockton - Modesto, CA DMA"
CA,COLUSA,"Sacramento - Stockton - Modesto, CA DMA"
CA,CONTRA COSTA,"San Francisco - Oakland - San Jose, CA DMA"
CA,DEL NORTE,"Eureka, CA DMA"
CA,EL DORADO,"Sacramento - Stockton - Modesto, CA DMA"
CA,FRESNO,"Fresno - Visalia, CA DMA"
CA,GLENN,"Chico - Redding, CA DMA"
CA,HUMBOLDT,"Eureka, CA DMA"
CA,IMPERIAL,"Yuma - El Centro, AZ - CA DMA"
CA,INYO,"Los Angeles, CA DMA"
CA,KERN,"Bakersfield, CA DMA"
CA,KINGS,"Fresno - Visalia, CA DMA"
CA,LAKE,"San Francisco - Oakland - San Jose, CA DMA"
CA,LASSEN,"Reno, NV - CA DMA"
CA,LOS ANGELES,"Los Angeles, CA DMA"
CA,MADERA,"Fresno - Visalia, CA DMA"
CA,MARIN,"San Francisco - Oakland - San Jose, CA DMA"
CA,MARIPOSA,"Fresno - Visalia, CA DMA"
CA,MENDOCINO,"San Francisco - Oakland - San Jose, CA DMA"
CA,MERCED,"Fresno - Visalia, CA DMA"
CA,MODOC,"Medford - Klamath Falls, OR - CA DMA"
CA,MONO,"Reno, NV - CA DMA"
CA,MONTEREY,"Monterey - Salinas, CA DMA"
CA,NAPA,"San Francisco - Oakland - San Jose, CA DMA"
CA,NEVADA,"Sacramento - Stockton - Modesto, CA DMA"
CA,ORANGE,"Los Angeles, CA DMA"
CA,PLACER,"Sacramento - Stockton - Modesto, CA DMA"
CA,PLUMAS,"Sacramento - Stockton - Modesto, CA DMA"
CA,RIVERSIDE,"Palm Springs, CA DMA"
CA,SACRAMENTO,"Sacramento - Stockton - Modesto, CA DMA"
CA,SAN BENITO,"Monterey - Salinas, CA DMA"
CA,SAN BERNARDINO,"Los Angeles, CA DMA"
CA,SAN DIEGO,"San Diego, CA DMA"
CA,SAN FRANCISCO,"San Francisco - Oakland - San Jose, CA DMA"
CA,SAN JOAQUIN,"Sacramento - Stockton - Modesto, CA DMA"
CA,SAN LUIS OBISPO,"Santa Barbara - Santa Maria - San Luis Obispo, CA DMA"
CA,SAN MATEO,"San Francisco - Oakland - San Jose, CA DMA"
CA,SANTA BARBARA,"Santa Barbara - Santa Maria - San Luis Obispo, CA DMA"
CA,SANTA CLARA,"San Francisco - Oakland - San Jose, CA DMA"
CA,SANTA CRUZ,"Monterey - Salinas, CA DMA"
CA,SHASTA,"Chico - Redding, CA DMA"
CA,SIERRA,"Sacramento - Stockton - Modesto, CA DMA"
CA,SISKIYOU,"Medford - Klamath Falls, OR - CA DMA"
CA,SOLANO,"San Francisco - Oakland - San Jose, CA DMA"
CA,SONOMA,"San Francisco - Oakland - San Jose, CA DMA"
CA,STANISLAUS,"Sacramento - Stockton - Modesto, CA DMA"
CA,SUTTER,"Sacramento - Stockton - Modesto, CA DMA"
CA,TEHAMA,"Chico - Redding, CA DMA"
CA,TRINITY,"Chico - Redding, CA DMA"
CA,TULARE,"Fresno - Visalia, CA DMA"
CA,TUOLUMNE,"Sacramento - Stockton - Modesto, CA DMA"
CA,VENTURA,"Los Angeles, CA DMA"
CA,YOLO,"Sacramento - Stockton - Modesto, CA DMA"
CA,YUBA,"Sacramento - Stockton - Modesto, CA DMA"
CO,ADAMS,"Denver, CO - NE - NV - WY DMA"
CO,ALAMOSA,"Denver, CO - NE - NV - WY DMA"
CO,ARAPAHOE,"Denver, CO - NE - NV - WY DMA"
CO,ARCHULETA,"Denver, CO - NE - NV - WY DMA"
CO,BACA,"Colorado Springs - Pueblo, CO DMA"
CO,BENT,"Colorado Springs - Pueblo, CO DMA"
CO,BOULDER,"Denver, CO - NE - NV - WY DMA"
CO,CHAFFEE,"Denver, CO - NE - NV - WY DMA"
CO,CHEYENNE,"Colorado Springs - Pueblo, CO DMA"
CO,CLEAR CREEK,"Denver, CO - NE - NV - WY DMA"
CO,CONEJOS,"Denver, CO - NE - NV - WY DMA"
CO,COSTILLA,"Albuquerque - Santa Fe, NM - AZ - CO DMA"
CO,CROWLEY,"Colorado Springs - Pueblo, CO DMA"
CO,CUSTER,"Denver, CO - NE - NV - WY DMA"
CO,DELTA,"Denver, CO - NE - NV - WY DMA"
CO,DENVER,"Denver, CO - NE - NV - WY DMA"
CO,DOLORES,"Grand Junction - Montrose, CO DMA"
CO,DOUGLAS,"Denver, CO - NE - NV - WY DMA"
CO,EAGLE,"Denver, CO - NE - NV - WY DMA"
CO,ELBERT,"Denver, CO - NE - NV - WY DMA"
CO,EL PASO,"Colorado Springs - Pueblo, CO DMA"
CO,FREMONT,"Colorado Springs - Pueblo, CO DMA"
CO,GARFIELD,"Denver, CO - NE - NV - WY DMA"
CO,GILPIN,"Denver, CO - NE - NV - WY DMA"
CO,GRAND,"Denver, CO - NE - NV - WY DMA"
CO,GUNNISON,"Denver, CO - NE - NV - WY DMA"
CO,HINSDALE,"Denver, CO - NE - NV - WY DMA"
CO,HUERFANO,"Colorado Springs - Pueblo, CO DMA"
CO,JACKSON,"Denver, CO - NE - NV - WY DMA"
CO,JEFFERSON,"Denver, CO - NE - NV - WY DMA"
CO,KIOWA,"Colorado Springs - Pueblo, CO DMA"
CO,KIT CARSON,"Denver, CO - NE - NV - WY DMA"
CO,LAKE,"Denver, CO - NE - NV - WY DMA"
CO,LA PLATA,"Albuquerque - Santa Fe, NM - AZ - CO DMA"
CO,LARIMER,"Denver, CO - NE - NV - WY DMA"
CO,LAS ANIMAS,"Colorado Springs - Pueblo, CO DMA"
CO,LINCOLN,"Denver, CO - NE - NV - WY DMA"
CO,LOGAN,"Denver, CO - NE - NV - WY DMA"
CO,MESA,"Grand Junction - Montrose, CO DMA"
CO,MINERAL,"Denver, CO - NE - NV - WY DMA"
CO,MOFFAT,"Denver, CO - NE - NV - WY DMA"
CO,MONTEZUMA,"Albuquerque - Santa Fe, NM - AZ - CO DMA"
CO,MONTROSE,"Grand Junction - Montrose, CO DMA"
CO,MORGAN,"Denver, CO - NE - NV - WY DMA"
CO,OTERO,"Colorado Springs - Pueblo, CO DMA"
CO,OURAY,"Denver, CO - NE - NV - WY DMA"
CO,PARK,"Denver, CO - NE - NV - WY DMA"
CO,PHILLIPS,"Denver, CO - NE - NV - WY DMA"
CO,PITKIN,"Denver, CO - NE - NV - WY DMA"
CO,PROWERS,"Denver, CO - NE - NV - WY DMA"
CO,PUEBLO,"Colorado Springs - Pueblo, CO DMA"
CO,RIO BLANCO,"Denver, CO - NE - NV - WY DMA"
CO,RIO GRANDE,"Denver, CO - NE - NV - WY DMA"
CO,ROUTT,"Denver, CO - NE - NV - WY DMA"
CO,SAGUACHE,"Denver, CO - NE - NV - WY DMA"
CO,SAN JUAN,"Denver, CO - NE - NV - WY DMA"
CO,SAN MIGUEL,"Denver, CO - NE - NV - WY DMA"
CO,SEDGWICK,"Denver, CO - NE - NV - WY DMA"
CO,SUMMIT,"Denver, CO - NE - NV - WY DMA"
CO,TELLER,"Colorado Springs - Pueblo, CO DMA"
CO,WASHINGTON,"Denver, CO - NE - NV - WY DMA"
CO,WELD,"Denver, CO - NE - NV - WY DMA"
CO,YUMA,"Denver, CO - NE - NV - WY DMA"
CT,HARTFORD,"Hartford & New Haven, CT DMA"
CT,TOLLAND,"Hartford & New Haven, CT DMA"
CT,WINDHAM,"Hartford & New Haven, CT DMA"
CT,LITCHFIELD,"Hartford & New Haven, CT DMA"
CT,MIDDLESEX,"Hartford & New Haven, CT DMA"
CT,NEW LONDON,"Hartford & New Haven, CT DMA"
CT,FAIRFIELD,"New York, NY - CT - NJ - PA DMA"
CT,NEW HAVEN,"Hartford & New Haven, CT DMA"
DE,KENT,"Philadelphia, PA - DE - NJ DMA"
DE,NEW CASTLE,"Philadelphia, PA - DE - NJ DMA"
DE,SUSSEX,"Salisbury, MD - DE DMA"
FL,ALACHUA,"Gainesville, FL DMA"
FL,BAKER,"Jacksonville, FL - Brunswick, GA DMA"
FL,BAY,"Panama City, FL DMA"
FL,BRADFORD,"Jacksonville, FL - Brunswick, GA DMA"
FL,BREVARD,"Orlando - Daytona Beach - Melbourne, FL DMA"
FL,BROWARD,"Miami - Ft. Lauderdale, FL DMA"
FL,CALHOUN,"Panama City, FL DMA"
FL,CHARLOTTE,"Ft. Myers - Naples, FL DMA"
FL,CITRUS,"Tampa - St. Petersburg - Sarasota, FL DMA"
FL,CLAY,"Jacksonville, FL - Brunswick, GA DMA"
FL,COLLIER,"Ft. Myers - Naples, FL DMA"
FL,COLUMBIA,"Jacksonville, FL - Brunswick, GA DMA"
FL,DADE,"Miami - Ft. Lauderdale, FL DMA"
FL,DE SOTO,"Ft. Myers - Naples, FL DMA"
FL,DIXIE,"Gainesville, FL DMA"
FL,DUVAL,"Jacksonville, FL - Brunswick, GA DMA"
FL,ESCAMBIA,"Mobile, AL - Pensacola, FL - MS DMA"
FL,FLAGLER,"Orlando - Daytona Beach - Melbourne, FL DMA"
FL,FRANKLIN,"Panama City, FL DMA"
FL,GADSDEN,"Tallahassee - Thomasville, FL - GA DMA"
FL,GILCHRIST,"Gainesville, FL DMA"
FL,GLADES,"Ft. Myers - Naples, FL DMA"
FL,GULF,"Panama City, FL DMA"
FL,HAMILTON,"Tallahassee - Thomasville, FL - GA DMA"
FL,HARDEE,"Tampa - St. Petersburg - Sarasota, FL DMA"
FL,HENDRY,"Ft. Myers - Naples, FL DMA"
FL,HERNANDO,"Tampa - St. Petersburg - Sarasota, FL DMA"
FL,HIGHLANDS,"Tampa - St. Petersburg - Sarasota, FL DMA"
FL,HILLSBOROUGH,"Tampa - St. Petersburg - Sarasota, FL DMA"
