state_ab,county,tvdma
GA,MORGAN,"Atlanta, GA - AL - NC DMA"
GA,MURRAY,"Chattanooga, TN - GA - NC DMA"
GA,MUSCOGEE,"Columbus, GA - AL DMA"
GA,NEWTON,"Atlanta, GA - AL - NC DMA"
GA,OCONEE,"Atlanta, GA - AL - NC DMA"
GA,OGLETHORPE,"Atlanta, GA - AL - NC DMA"
GA,PAULDING,"Atlanta, GA - AL - NC DMA"
GA,PEACH,"Macon, GA DMA"
GA,PICKENS,"Atlanta, GA - AL - NC DMA"
GA,PIERCE,"Jacksonville, FL - Brunswick, GA DMA"
GA,PIKE,"Atlanta, GA - AL - NC DMA"
GA,POLK,"Atlanta, GA - AL - NC DMA"
GA,PULASKI,"Macon, GA DMA"
GA,PUTNAM,"Atlanta, GA - AL - NC DMA"
GA,QUITMAN,"Columbus, GA - AL DMA"
GA,RABUN,"Atlanta, GA - AL - NC DMA"
GA,RANDOLPH,"Columbus, GA - AL DMA"
GA,RICHMOND,"Augusta, GA - SC DMA"
GA,ROCKDALE,"Atlanta, GA - AL - NC DMA"
GA,SCHLEY,"Columbus, GA - AL DMA"
GA,SCREVEN,"Savannah, GA - SC DMA"
GA,SEMINOLE,"Dothan, AL - GA DMA"
GA,SPALDING,"Atlanta, GA - AL - NC DMA"
GA,STEPHENS,"Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA"
GA,STEWART,"Columbus, GA - AL DMA"
GA,SUMTER,"Columbus, GA - AL DMA"
GA,TALBOT,"Columbus, GA - AL DMA"
GA,TALIAFERRO,"Augusta, GA - SC DMA"
GA,TATTNALL,"Savannah, GA - SC DMA"
GA,TAYLOR,"Columbus, GA - AL DMA"
GA,TELFAIR,"Macon, GA DMA"
GA,TERRELL,"Albany, GA DMA"
GA,THOMAS,"Tallahassee - Thomasville, FL - GA DMA"
GA,TIFT,"Albany, GA DMA"
GA,TOOMBS,"Savannah, GA - SC DMA"
GA,TOWNS,"Atlanta, GA - AL - NC DMA"
GA,TREUTLEN,"Macon, GA DMA"
GA,TROUP,"Atlanta, GA - AL - NC DMA"
GA,TURNER,"Albany, GA DMA"
GA,TWIGGS,"Macon, GA DMA"
GA,UNION,"Atlanta, GA - AL - NC DMA"
GA,UPSON,"Atlanta, GA - AL - NC DMA"
GA,WALKER,"Chattanooga, TN - GA - NC DMA"
GA,WALTON,"Atlanta, GA - AL - NC DMA"
GA,WARE,"Jacksonville, FL - Brunswick, GA DMA"
GA,WARREN,"Augusta, GA - SC DMA"
GA,WASHINGTON,"Macon, GA DMA"
GA,WAYNE,"Savannah, GA - SC DMA"
GA,WEBSTER,"Columbus, GA - AL DMA"
GA,WHEELER,"Macon, GA DMA"
GA,WHITE,"Atlanta, GA - AL - NC DMA"
GA,WHITFIELD,"Chattanooga, TN - GA - NC DMA"
GA,WILCOX,"Macon, GA DMA"
GA,WILKES,"Augusta, GA - SC DMA"
GA,WILKINSON,"Macon, GA DMA"
GA,WORTH,"Albany, GA DMA"
HI,HAWAII,"Honolulu, HI DMA"
HI,HONOLULU,"Honolulu, HI DMA"
HI,KAUAI,"Honolulu, HI DMA"
HI,MAUI,"Honolulu, HI DMA"
ID,ADA,"Boise, ID - OR DMA"
ID,ADAMS,"Boise, ID - OR DMA"
ID,BANNOCK,"Idaho Falls - Pocatello, ID - WY DMA"
ID,BEAR LAKE,"Salt Lake City, UT - ID - WY DMA"
ID,BENEWAH,"Spokane, WA - ID - MT - OR DMA"
ID,BINGHAM,"Idaho Falls - Pocatello, ID - WY DMA"
ID,BLAINE,"Twin Falls, ID DMA"
ID,BOISE,"Boise, ID - OR DMA"
ID,BONNER,"Spokane, WA - ID - MT - OR DMA"
ID,BONNEVILLE,"Idaho Falls - Pocatello, ID - WY DMA"
ID,BOUNDARY,"Spokane, WA - ID - MT - OR DMA"
ID,BUTTE,"Idaho Falls - Pocatello, ID - WY DMA"
ID,CAMAS,"Boise, ID - OR DMA"
ID,CANYON,"Boise, ID - OR DMA"
ID,CARIBOU,"Idaho Falls - Pocatello, ID - WY DMA"
ID,CASSIA,"Twin Falls, ID DMA"
ID,CLARK,"Idaho Falls - Pocatello, ID - WY DMA"
ID,CLEARWATER,"Spokane, WA - ID - MT - OR DMA"
ID,CUSTER,"Idaho Falls - Pocatello, ID - WY DMA"
ID,ELMORE,"Boise, ID - OR DMA"
ID,FRANKLIN,"Salt Lake City, UT - ID - WY DMA"
ID,FREMONT,"Idaho Falls - Pocatello, ID - WY DMA"
ID,GEM,"Boise, ID - OR DMA"
ID,GOODING,"Twin Falls, ID DMA"
ID,IDAHO,"Spokane, WA - ID - MT - OR DMA"
ID,JEFFERSON,"Idaho Falls - Pocatello, ID - WY DMA"
ID,JEROME,"Twin Falls, ID DMA"
ID,KOOTENAI,"Spokane, WA - ID - MT - OR DMA"
ID,LATAH,"Spokane, WA - ID - MT - OR DMA"
ID,LEMHI,"Idaho Falls - Pocatello, ID - WY DMA"
ID,LEWIS,"Spokane, WA - ID - MT - OR DMA"
ID,LINCOLN,"Twin Falls, ID DMA"
ID,MADISON,"Idaho Falls - Pocatello, ID - WY DMA"
ID,MINIDOKA,"Twin Falls, ID DMA"
ID,NEZ PERCE,"Spokane, WA - ID - MT - OR DMA"
ID,ONEIDA,"Salt Lake City, UT - ID - WY DMA"
ID,OWYHEE,"Boise, ID - OR DMA"
ID,PAYETTE,"Boise, ID - OR DMA"
ID,POWER,"Idaho Falls - Pocatello, ID - WY DMA"
ID,SHOSHONE,"Spokane, WA - ID - MT - OR DMA"
ID,TETON,"Idaho Falls - Pocatello, ID - WY DMA"
ID,TWIN FALLS,"Twin Falls, ID DMA"
ID,VALLEY,"Boise, ID - OR DMA"
ID,WASHINGTON,"Boise, ID - OR DMA"
IL,ADAMS,"Quincy - Hannibal - Keokuk, MO - IL - IA DMA"
IL,ALEXANDER,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
IL,BOND,"St. Louis, MO - IL DMA"
IL,BOONE,"Rockford, IL DMA"
IL,BROWN,"Quincy - Hannibal - Keokuk, MO - IL - IA DMA"
IL,BUREAU,"Davenport - Rock Island - Moline, IA - IL DMA"
IL,CALHOUN,"St. Louis, MO - IL DMA"
IL,CARROLL,"Davenport - Rock Island - Moline, IA - IL DMA"
IL,CASS,"Quincy - Hannibal - Keokuk, MO - IL - IA DMA"
IL,CHAMPAIGN,"Champaign - Springfield - Decatur, IL DMA"
IL,CHRISTIAN,"Champaign - Springfield - Decatur, IL DMA"
IL,CLARK,"Terre Haute, IN - IL DMA"
IL,CLAY,"Terre Haute, IN - IL DMA"
IL,CLINTON,"St. Louis, MO - IL DMA"
IL,COLES,"Champaign - Springfield - Decatur, IL DMA"
IL,COOK,"Chicago, IL - IN DMA"
IL,CRAWFORD,"Terre Haute, IN - IL DMA"
IL,CUMBERLAND,"Champaign - Springfield - Decatur, IL DMA"
IL,DE KALB,"Chicago, IL - IN DMA"
IL,DE WITT,"Champaign - Springfield - Decatur, IL DMA"
IL,DOUGLAS,"Champaign - Springfield - Decatur, IL DMA"
IL,DU PAGE,"Chicago, IL - IN DMA"
IL,EDGAR,"Terre Haute, IN - IL DMA"
IL,EDWARDS,"Evansville, IN - IL - KY DMA"
IL,EFFINGHAM,"Champaign - Springfield - Decatur, IL DMA"
IL,FAYETTE,"St. Louis, MO - IL DMA"
IL,FORD,"Champaign - Springfield - Decatur, IL DMA"
IL,FRANKLIN,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
IL,FULTON,"Peoria - Bloomington, IL DMA"
IL,GALLATIN,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
IL,GREENE,"St. Louis, MO - IL DMA"
IL,GRUNDY,"Chicago, IL - IN DMA"
IL,HAMILTON,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
IL,HANCOCK,"Quincy - Hannibal - Keokuk, MO - IL - IA DMA"
IL,HARDIN,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
IL,HENDERSON,"Davenport - Rock Island - Moline, IA - IL DMA"
IL,HENRY,"Davenport - Rock Island - Moline, IA - IL DMA"
IL,IROQUOIS,"Champaign - Springfield - Decatur, IL DMA"
IL,JACKSON,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
IL,JASPER,"Terre Haute, IN - IL DMA"
IL,JEFFERSON,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
IL,JERSEY,"St. Louis, MO - IL DMA"
IL,JO DAVIESS,"Davenport - Rock Island - Moline, IA - IL DMA"
IL,JOHNSON,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
IL,KANE,"Chicago, IL - IN DMA"
IL,KANKAKEE,"Chicago, IL - IN DMA"
IL,KENDALL,"Chicago, IL - IN DMA"
IL,KNOX,"Davenport - Rock Island - Moline, IA - IL DMA"
IL,LAKE,"Chicago, IL - IN DMA"
IL,LA SALLE,"Chicago, IL - IN DMA"
IL,LAWRENCE,"Terre Haute, IN - IL DMA"
IL,LEE,"Rockford, IL DMA"
IL,LIVINGSTON,"Peoria - Bloomington, IL DMA"
IL,LOGAN,"Champaign - Springfield - Decatur, IL DMA"
IL,MCDONOUGH,"Quincy - Hannibal - Keokuk, MO - IL - IA DMA"
IL,MCHENRY,"Chicago, IL - IN DMA"
IL,MCLEAN,"Peoria - Bloomington, IL DMA"
IL,MACON,"Champaign - Springfield - Decatur, IL DMA"
IL,MACOUPIN,"St. Louis, MO - IL DMA"
IL,MADISON,"St. Louis, MO - IL DMA"
IL,MARION,"St. Louis, MO - IL DMA"
IL,MARSHALL,"Peoria - Bloomington, IL DMA"
IL,MASON,"Peoria - Bloomington, IL DMA"
IL,MASSAC,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
IL,MENARD,"Champaign - Springfield - Decatur, IL DMA"
IL,MERCER,"Davenport - Rock Island - Moline, IA - IL DMA"
IL,MONROE,"St. Louis, MO - IL DMA"
IL,MONTGOMERY,"St. Louis, MO - IL DMA"
IL,MORGAN,"Champaign - Springfield - Decatur, IL DMA"
IL,MOULTRIE,"Champaign - Springfield - Decatur, IL DMA"
IL,OGLE,"Rockford, IL DMA"
IL,PEORIA,"Peoria - Bloomington, IL DMA"
IL,PERRY,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
IL,PIATT,"Champaign - Springfield - Decatur, IL DMA"
IL,PIKE,"Quincy - Hannibal - Keokuk, MO - IL - IA DMA"
IL,POPE,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
IL,PULASKI,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
IL,PUTNAM,"Peoria - Bloomington, IL DMA"
IL,RANDOLPH,"St. Louis, MO - IL DMA"
IL,RICHLAND,"Terre Haute, IN - IL DMA"
IL,ROCK ISLAND,"Davenport - Rock Island - Moline, IA - IL DMA"
IL,ST CLAIR,"St. Louis, MO - IL DMA"
IL,SALINE,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
IL,SANGAMON,"Champaign - Springfield - Decatur, IL DMA"
IL,SCHUYLER,"Quincy - Hannibal - Keokuk, MO - IL - IA DMA"
IL,SCOTT,"Quincy - Hannibal - Keokuk, MO - IL - IA DMA"
IL,SHELBY,"Champaign - Springfield - Decatur, IL DMA"
IL,STARK,"Peoria - Bloomington, IL DMA"
IL,STEPHENSON,"Rockford, IL DMA"
IL,TAZEWELL,"Peoria - Bloomington, IL DMA"
IL,UNION,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
IL,VERMILION,"Champaign - Springfield - Decatur, IL DMA"
IL,WABASH,"Evansville, IN - IL - KY DMA"
IL,WARREN,"Davenport - Rock Island - Moline, IA - IL DMA"
IL,WASHINGTON,"St. Louis, MO - IL DMA"
IL,WAYNE,"Evansville, IN - IL - KY DMA"
IL,WHITE,"Evansville, IN - IL - KY DMA"
IL,WHITESIDE,"Davenport - Rock Island - Moline, IA - IL DMA"
IL,WILL,"Chicago, IL - IN DMA"
IL,WILLIAMSON,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
IL,WINNEBAGO,"Rockford, IL DMA"
IL,WOODFORD,"Peoria - Bloomington, IL DMA"
IN,ADAMS,"Ft. Wayne, IN - OH DMA"
IN,ALLEN,"Ft. Wayne, IN - OH DMA"
IN,BARTHOLOMEW,"Indianapolis, IN DMA"
IN,BENTON,"Indianapolis, IN DMA"
IN,BLACKFORD,"Indianapolis, IN DMA"
IN,BOONE,"Indianapolis, IN DMA"
IN,BROWN,"Indianapolis, IN DMA"
IN,CARROLL,"Indianapolis, IN DMA"
IN,CASS,"Indianapolis, IN DMA"
IN,CLARK,"Louisville, KY - IN DMA"
IN,CLAY,"Terre Haute, IN - IL DMA"
IN,CLINTON,"Indianapolis, IN DMA"
IN,CRAWFORD,"Louisville, KY - IN DMA"
IN,DAVIESS,"Terre Haute, IN - IL DMA"
IN,DEARBORN,"Cincinnati, OH -IN - KY DMA"
IN,DECATUR,"Indianapolis, IN DMA"
IN,DE KALB,"Ft. Wayne, IN - OH DMA"
IN,DELAWARE,"Indianapolis, IN DMA"
IN,DUBOIS,"Evansville, IN - IL - KY DMA"
IN,ELKHART,"South Bend - Elkhart, IN - MI DMA"
IN,FAYETTE,"Indianapolis, IN DMA"
IN,FLOYD,"Louisville, KY - IN DMA"
IN,FOUNTAIN,"Indianapolis, IN DMA"
IN,FRANKLIN,"Cincinnati, OH -IN - KY DMA"
IN,FULTON,"South Bend - Elkhart, IN - MI DMA"
IN,GIBSON,"Evansville, IN - IL - KY DMA"
IN,GRANT,"Indianapolis, IN DMA"
IN,GREENE,"Terre Haute, IN - IL DMA"
IN,HAMILTON,"Indianapolis, IN DMA"
IN,HANCOCK,"Indianapolis, IN DMA"
IN,HARRISON,"Louisville, KY - IN DMA"
IN,HENDRICKS,"Indianapolis, IN DMA"
IN,HENRY,"Indianapolis, IN DMA"
IN,HOWARD,"Indianapolis, IN DMA"
IN,HUNTINGTON,"Ft. Wayne, IN - OH DMA"
IN,JACKSON,"Louisville, KY - IN DMA"
IN,JASPER,"Chicago, IL - IN DMA"
IN,JAY,"Ft. Wayne, IN - OH DMA"
IN,JEFFERSON,"Louisville, KY - IN DMA"
IN,JENNINGS,"Louisville, KY - IN DMA"
IN,JOHNSON,"Indianapolis, IN DMA"
IN,KNOX,"Terre Haute, IN - IL DMA"
IN,KOSCIUSKO,"South Bend - Elkhart, IN - MI DMA"
IN,LAGRANGE,"South Bend - Elkhart, IN - MI DMA"
IN,LAKE,"Chicago, IL - IN DMA"
IN,LA PORTE,"Chicago, IL - IN DMA"
IN,LAWRENCE,"Indianapolis, IN DMA"
IN,MADISON,"Indianapolis, IN DMA"
IN,MARION,"Indianapolis, IN DMA"
IN,MARSHALL,"South Bend - Elkhart, IN - MI DMA"
IN,MARTIN,"Terre Haute, IN - IL DMA"
IN,MIAMI,"Indianapolis, IN DMA"
IN,MONROE,"Indianapolis, IN DMA"
IN,MONTGOMERY,"Indianapolis, IN DMA"
IN,MORGAN,"Indianapolis, IN DMA"
IN,NEWTON,"Chicago, IL - IN DMA"
IN,NOBLE,"Ft. Wayne, IN - OH DMA"
IN,OHIO,"Cincinnati, OH -IN - KY DMA"
IN,ORANGE,"Louisville, KY - IN DMA"
IN,OWEN,"Indianapolis, IN DMA"
IN,PARKE,"Terre Haute, IN - IL DMA"
IN,PERRY,"Evansville, IN - IL - KY DMA"
IN,PIKE,"Evansville, IN - IL - KY DMA"
IN,PORTER,"Chicago, IL - IN DMA"
IN,POSEY,"Evansville, IN - IL - KY DMA"
IN,PULASKI,"South Bend - Elkhart, IN - MI DMA"
IN,PUTNAM,"Indianapolis, IN DMA"
IN,RANDOLPH,"Indianapolis, IN DMA"
IN,RIPLEY,"Cincinnati, OH -IN - KY DMA"
IN,RUSH,"Indianapolis, IN DMA"
IN,ST JOSEPH,"South Bend - Elkhart, IN - MI DMA"
IN,SCOTT,"Louisville, KY - IN DMA"
IN,SHELBY,"Indianapolis, IN DMA"
IN,SPENCER,"Evansville, IN - IL - KY DMA"
IN,STARKE,"South Bend - Elkhart, IN - MI DMA"
IN,STEUBEN,"Ft. Wayne, IN - OH DMA"
IN,SULLIVAN,"Terre Haute, IN - IL DMA"
IN,SWITZERLAND,"Cincinnati, OH -IN - KY DMA"
IN,TIPPECANOE,"Lafayette, IN DMA"
IN,TIPTON,"Indianapolis, IN DMA"
IN,UNION,"Cincinnati, OH -IN - KY DMA"
IN,VANDERBURGH,"Evansville, IN - IL - KY DMA"
IN,VERMILLION,"Terre Haute, IN - IL DMA"
IN,VIGO,"Terre Haute, IN - IL DMA"
IN,WABASH,"Ft. Wayne, IN - OH DMA"
IN,WARREN,"Lafayette, IN DMA"
IN,WARRICK,"Evansville, IN - IL - KY DMA"
IN,WASHINGTON,"Louisville, KY - IN DMA"
IN,WAYNE,"Dayton, OH - IN DMA"
IN,WELLS,"Ft. Wayne, IN - OH DMA"
IN,WHITE,"Indianapolis, IN DMA"
IN,WHITLEY,"Ft. Wayne, IN - OH DMA"
IA,ADAIR,"Des Moines - Ames, IA - MO DMA"
IA,ADAMS,"Omaha, NE - IA - MO DMA"
IA,ALLAMAKEE,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,APPANOOSE,"Des Moines - Ames, IA - MO DMA"
IA,AUDUBON,"Des Moines - Ames, IA - MO DMA"
IA,BENTON,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,BLACK HAWK,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,BOONE,"Des Moines - Ames, IA - MO DMA"
IA,BREMER,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,BUCHANAN,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,BUENA VISTA,"Sioux City, IA - NE - SD DMA"
IA,BUTLER,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,CALHOUN,"Des Moines - Ames, IA - MO DMA"
IA,CARROLL,"Des Moines - Ames, IA - MO DMA"
IA,CASS,"Omaha, NE - IA - MO DMA"
IA,CEDAR,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,CERRO GORDO,"Rochester - Mason City - Austin, MN - IA DMA"
IA,CHEROKEE,"Sioux City, IA - NE - SD DMA"
IA,CHICKASAW,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,CLARKE,"Des Moines - Ames, IA - MO DMA"
IA,CLAY,"Sioux City, IA - NE - SD DMA"
IA,CLAYTON,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,CLINTON,"Davenport - Rock Island - Moline, IA - IL DMA"
IA,CRAWFORD,"Omaha, NE - IA - MO DMA"
IA,DALLAS,"Des Moines - Ames, IA - MO DMA"
IA,DAVIS,"Ottumwa - Kirksville, IA - MO DMA"
IA,DECATUR,"Des Moines - Ames, IA - MO DMA"
IA,DELAWARE,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,DES MOINES,"Davenport - Rock Island - Moline, IA - IL DMA"
IA,DICKINSON,"Sioux City, IA - NE - SD DMA"
IA,DUBUQUE,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,EMMET,"Mankato, MN - IA DMA"
IA,FAYETTE,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,FLOYD,"Rochester - Mason City - Austin, MN - IA DMA"
IA,FRANKLIN,"Des Moines - Ames, IA - MO DMA"
IA,FREMONT,"Omaha, NE - IA - MO DMA"
IA,GREENE,"Des Moines - Ames, IA - MO DMA"
IA,GRUNDY,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,GUTHRIE,"Des Moines - Ames, IA - MO DMA"
IA,HAMILTON,"Des Moines - Ames, IA - MO DMA"
IA,HANCOCK,"Rochester - Mason City - Austin, MN - IA DMA"
IA,HARDIN,"Des Moines - Ames, IA - MO DMA"
IA,HARRISON,"Omaha, NE - IA - MO DMA"
IA,HENRY,"Davenport - Rock Island - Moline, IA - IL DMA"
IA,HOWARD,"Rochester - Mason City - Austin, MN - IA DMA"
IA,HUMBOLDT,"Des Moines - Ames, IA - MO DMA"
IA,IDA,"Sioux City, IA - NE - SD DMA"
IA,IOWA,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,JACKSON,"Davenport - Rock Island - Moline, IA - IL DMA"
IA,JASPER,"Des Moines - Ames, IA - MO DMA"
IA,JEFFERSON,"Ottumwa - Kirksville, IA - MO DMA"
IA,JOHNSON,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,JONES,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,KEOKUK,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,KOSSUTH,"Des Moines - Ames, IA - MO DMA"
IA,LEE,"Quincy - Hannibal - Keokuk, MO - IL - IA DMA"
IA,LINN,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,LOUISA,"Davenport - Rock Island - Moline, IA - IL DMA"
IA,LUCAS,"Des Moines - Ames, IA - MO DMA"
IA,LYON,"Sioux Falls (Mitchell), SD - IA - MN - NE DMA"
IA,MADISON,"Des Moines - Ames, IA - MO DMA"
IA,MAHASKA,"Des Moines - Ames, IA - MO DMA"
IA,MARION,"Des Moines - Ames, IA - MO DMA"
IA,MARSHALL,"Des Moines - Ames, IA - MO DMA"
IA,MILLS,"Omaha, NE - IA - MO DMA"
IA,MITCHELL,"Rochester - Mason City - Austin, MN - IA DMA"
IA,MONONA,"Sioux City, IA - NE - SD DMA"
IA,MONROE,"Des Moines - Ames, IA - MO DMA"
IA,MONTGOMERY,"Omaha, NE - IA - MO DMA"
IA,MUSCATINE,"Davenport - Rock Island - Moline, IA - IL DMA"
IA,O BRIEN,"Sioux City, IA - NE - SD DMA"
IA,OSCEOLA,"Sioux Falls (Mitchell), SD - IA - MN - NE DMA"
IA,PAGE,"Omaha, NE - IA - MO DMA"
IA,PALO ALTO,"Sioux City, IA - NE - SD DMA"
IA,PLYMOUTH,"Sioux City, IA - NE - SD DMA"
IA,POCAHONTAS,"Des Moines - Ames, IA - MO DMA"
IA,POLK,"Des Moines - Ames, IA - MO DMA"
IA,POTTAWATTAMIE,"Omaha, NE - IA - MO DMA"
IA,POWESHIEK,"Des Moines - Ames, IA - MO DMA"
IA,RINGGOLD,"Des Moines - Ames, IA - MO DMA"
IA,SAC,"Sioux City, IA - NE - SD DMA"
IA,SCOTT,"Davenport - Rock Island - Moline, IA - IL DMA"
IA,SHELBY,"Omaha, NE - IA - MO DMA"
IA,SIOUX,"Sioux City, IA - NE - SD DMA"
IA,STORY,"Des Moines - Ames, IA - MO DMA"
IA,TAMA,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,TAYLOR,"Des Moines - Ames, IA - MO DMA"
IA,UNION,"Des Moines - Ames, IA - MO DMA"
IA,VAN BUREN,"Ottumwa - Kirksville, IA - MO DMA"
IA,WAPELLO,"Ottumwa - Kirksville, IA - MO DMA"
IA,WARREN,"Des Moines - Ames, IA - MO DMA"
IA,WASHINGTON,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,WAYNE,"Des Moines - Ames, IA - MO DMA"
IA,WEBSTER,"Des Moines - Ames, IA - MO DMA"
IA,WINNEBAGO,"Rochester - Mason City - Austin, MN - IA DMA"
IA,WINNESHIEK,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
IA,WOODBURY,"Sioux City, IA - NE - SD DMA"
IA,WORTH,"Rochester - Mason City - Austin, MN - IA DMA"
IA,WRIGHT,"Des Moines - Ames, IA - MO DMA"
KS,ALLEN,"Joplin - Pittsburg, MO - KS - OK DMA"
KS,ANDERSON,"Kansas City, MO - KS DMA"
KS,ATCHISON,"Kansas City, MO - KS DMA"
KS,BARBER,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,BARTON,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,BOURBON,"Joplin - Pittsburg, MO - KS - OK DMA"
KS,BROWN,"Topeka, KS DMA"
KS,BUTLER,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,CHASE,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,CHAUTAUQUA,"Tulsa, OK - KS DMA"
KS,CHEROKEE,"Joplin - Pittsburg, MO - KS - OK DMA"
KS,CHEYENNE,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,CLARK,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,CLAY,"Topeka, KS DMA"
KS,CLOUD,"Topeka, KS DMA"
KS,COFFEY,"Topeka, KS DMA"
KS,COMANCHE,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,COWLEY,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,CRAWFORD,"Joplin - Pittsburg, MO - KS - OK DMA"
KS,DECATUR,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,DICKINSON,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,DONIPHAN,"St. Joseph, MO - KS DMA"
KS,DOUGLAS,"Kansas City, MO - KS DMA"
KS,EDWARDS,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,ELK,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,ELLIS,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,ELLSWORTH,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,FINNEY,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,FORD,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,FRANKLIN,"Kansas City, MO - KS DMA"
KS,GEARY,"Topeka, KS DMA"
KS,GOVE,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,GRAHAM,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,GRANT,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,GRAY,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,GREELEY,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,GREENWOOD,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,HAMILTON,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,HARPER,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,HARVEY,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,HASKELL,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,HODGEMAN,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,JACKSON,"Topeka, KS DMA"
KS,JEFFERSON,"Topeka, KS DMA"
KS,JEWELL,"Lincoln & Hastings - Kearney Plus, NE - KS DMA"
KS,JOHNSON,"Kansas City, MO - KS DMA"
KS,KEARNY,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,KINGMAN,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,KIOWA,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,LABETTE,"Joplin - Pittsburg, MO - KS - OK DMA"
KS,LANE,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,LEAVENWORTH,"Kansas City, MO - KS DMA"
KS,LINCOLN,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,LINN,"Kansas City, MO - KS DMA"
KS,LOGAN,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,LYON,"Topeka, KS DMA"
KS,MCPHERSON,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,MARION,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,MARSHALL,"Topeka, KS DMA"
KS,MEADE,"Wichita - Hutchinson Plus, KS - NE DMA"
KS,MIAMI,"Kansas City, MO - KS DMA"
KS,MITCHELL,"Wichita - Hutchinson Plus, KS - NE DMA"
